sa2,Regions,ra5cat
11001,2,2
11002,2,2
11003,2,2
11004,2,2
11005,2,2
11006,2,2
11007,2,2
11008,1,1
11009,1,1
11010,1,1
11011,2,2
11012,1,1
11013,2,3
11014,2,2
11015,2,3
11016,2,3
11017,2,2
11018,2,2
11019,2,3
11020,2,3
11021,2,2
11022,2,3
11023,2,3
11024,2,2
11025,2,3
11026,2,2
11027,2,3
11028,1,1
11029,1,1
11030,2,2
11031,1,1
11032,1,1
11033,1,1
11034,1,1
11035,1,1
11036,1,1
11037,1,1
11038,1,1
11039,1,1
11040,1,1
11041,1,1
11042,1,1
11043,1,1
11044,1,1
11045,1,1
11046,1,1
11047,1,1
11048,1,1
11049,1,1
11050,1,1
11051,1,1
11052,1,1
11053,1,1
11054,1,1
11055,1,1
11056,1,1
11057,1,1
11058,2,2
11059,2,2
11060,2,2
11061,2,2
11062,2,3
11063,2,2
11064,2,3
11065,2,3
11066,2,3
11067,2,3
11068,2,3
11069,2,3
11070,2,2
11071,2,2
11072,2,2
11073,2,3
11074,2,3
11076,2,2
11077,2,2
11078,2,2
11079,2,2
11080,2,2
11081,2,3
11082,2,2
11083,2,3
11084,2,2
11085,2,2
11086,2,2
11087,2,3
11088,2,2
11089,2,2
11090,2,3
11091,2,2
11092,3,5
11093,3,4
11094,3,4
11095,3,4
11096,3,4
11097,2,3
11098,3,5
11099,2,3
11100,2,2
11101,2,2
11102,2,2
11103,2,3
11104,2,3
11105,2,3
11106,2,3
11107,2,2
11108,2,2
11109,2,2
11110,2,2
11111,1,1
11112,2,2
11113,2,2
11114,1,1
11115,1,1
11116,1,1
11117,1,1
11118,1,1
11119,2,2
11120,2,2
11121,2,2
11122,1,1
11123,2,2
11124,2,2
11125,2,2
11126,2,2
11127,2,2
11128,2,2
11129,2,3
11130,1,1
11131,1,1
11132,1,1
11133,1,1
11134,1,1
11135,2,2
11136,1,1
11137,1,1
11138,2,2
11139,2,2
11140,2,2
11141,1,1
11142,1,1
11143,1,1
11144,1,1
11145,1,1
11146,1,1
11147,1,1
11148,1,1
11149,1,1
11150,1,1
11151,2,2
11152,2,2
11153,2,2
11154,2,2
11155,2,2
11156,2,3
11157,2,3
11158,2,3
11159,2,3
11160,2,3
11162,2,2
11163,2,2
11164,2,2
11165,2,2
11166,2,2
11167,2,2
11168,2,2
11169,2,2
11170,2,2
11171,2,2
11172,2,2
11173,2,2
11174,2,2
11175,2,2
11176,2,2
11177,2,3
11178,2,3
11179,2,3
11180,2,2
11181,2,2
11182,2,2
11183,2,3
11184,2,2
11185,2,2
11186,2,2
11187,2,3
11188,2,3
11189,2,3
11190,2,3
11191,2,3
11192,2,3
11193,2,3
11194,2,3
11195,2,3
11196,2,3
11197,2,3
11198,2,3
11199,2,3
11200,2,3
11201,2,3
11202,2,2
11203,2,2
11204,2,2
11205,2,3
11206,1,1
11207,1,1
11208,1,1
11209,1,1
11210,1,1
11211,1,1
11212,1,1
11213,1,1
11214,1,1
11215,1,1
11216,1,1
11217,1,1
11218,1,1
11219,1,1
11220,1,1
11221,1,1
11222,1,1
11223,1,1
11224,1,1
11225,1,1
11226,1,1
11227,1,1
11228,1,1
11229,1,1
11230,1,1
11231,1,1
11232,1,1
11233,1,1
11234,1,1
11235,1,1
11236,2,2
11237,2,2
11238,2,2
11239,2,2
11240,2,2
11241,2,2
11242,2,2
11243,2,2
11244,2,2
11245,2,2
11246,2,2
11247,2,2
11248,2,2
11249,2,2
11250,1,1
11251,2,2
11252,2,2
11253,1,1
11254,1,1
11255,1,1
11256,2,3
11257,2,3
11258,2,3
11259,2,3
11260,2,3
11261,2,2
11262,2,2
11263,2,2
11264,2,2
11265,2,2
11266,2,3
11267,2,2
11268,2,2
11269,2,2
11270,2,2
11271,2,2
11272,2,2
11273,2,2
11274,2,2
11275,2,2
11276,2,2
11277,2,2
11278,2,2
11279,2,2
11280,2,2
11281,2,2
11282,2,2
11283,2,2
11284,2,2
11285,2,2
11286,2,2
11287,2,2
11288,2,2
11289,2,2
11290,1,1
11291,1,1
11292,1,1
11293,1,1
11294,1,1
11295,1,1
11296,1,1
11297,1,1
11298,1,1
11299,2,2
11300,2,2
11301,1,1
11302,1,1
11303,1,1
11304,1,1
11305,1,1
11306,1,1
11307,1,1
11308,1,1
11309,1,1
11310,1,1
11311,1,1
11312,1,1
11313,1,1
11314,1,1
11315,1,1
11316,1,1
11317,1,1
11318,1,1
11319,1,1
11320,1,1
11321,1,1
11322,1,1
11323,1,1
11325,1,1
11326,1,1
11327,1,1
11328,1,1
11329,1,1
11330,1,1
11331,1,1
11332,1,1
11333,1,1
