sa2,SA2,sa2_name,state_code,state_name,ra_code_2011,ra_name_2011,ra5cat,ra4cat,SA2irsd,SA2irsad
11001,101011001,Goulburn,1,New South Wales,11,Inner Regional Australia,2,2,1,1
11002,101011002,Goulburn Region,1,New South Wales,11,Inner Regional Australia,2,2,3,3
11003,101011003,Yass,1,New South Wales,11,Inner Regional Australia,2,2,3,3
11004,101011004,Yass Region,1,New South Wales,11,Inner Regional Australia,2,2,5,5
11005,101011005,Young,1,New South Wales,11,Inner Regional Australia,2,2,1,1
11006,101011006,Young Region,1,New South Wales,11,Inner Regional Australia,2,2,2,2
11007,101021007,Braidwood,1,New South Wales,11,Inner Regional Australia,2,2,3,3
11008,101021008,Karabar,1,New South Wales,10,Major Cities of Australia,1,1,3,3
11009,101021009,Queanbeyan,1,New South Wales,10,Major Cities of Australia,1,1,3,3
11010,101021010,Queanbeyan - East,1,New South Wales,10,Major Cities of Australia,1,1,4,4
11011,101021011,Queanbeyan Region,1,New South Wales,11,Inner Regional Australia,2,2,5,5
11012,101021012,Queanbeyan West - Jerrabomberra,1,New South Wales,10,Major Cities of Australia,1,1,5,5
11013,101031013,Bombala,1,New South Wales,12,Outer Regional Australia,3,3,2,2
11014,101031014,Cooma,1,New South Wales,11,Inner Regional Australia,2,2,2,2
11015,101031015,Cooma Region,1,New South Wales,12,Outer Regional Australia,3,3,3,3
11016,101031016,Jindabyne - Berridale,1,New South Wales,12,Outer Regional Australia,3,3,4,4
11017,101041017,Batemans Bay,1,New South Wales,11,Inner Regional Australia,2,2,1,1
11018,101041018,Batemans Bay - South,1,New South Wales,11,Inner Regional Australia,2,2,2,2
11019,101041019,Bega - Tathra,1,New South Wales,12,Outer Regional Australia,3,3,2,2
11020,101041020,Bega-Eden Hinterland,1,New South Wales,12,Outer Regional Australia,3,3,2,2
11021,101041021,Broulee - Tomakin,1,New South Wales,11,Inner Regional Australia,2,2,2,2
11022,101041022,Deua - Wadbilliga,1,New South Wales,12,Outer Regional Australia,3,3,5,4
11023,101041023,Eden,1,New South Wales,12,Outer Regional Australia,3,3,1,1
11024,101041024,Eurobodalla Hinterland,1,New South Wales,11,Inner Regional Australia,2,2,2,2
11025,101041025,Merimbula - Tura Beach,1,New South Wales,12,Outer Regional Australia,3,3,3,2
11026,101041026,Moruya - Tuross Head,1,New South Wales,11,Inner Regional Australia,2,2,2,2
11027,101041027,Narooma - Bermagui,1,New South Wales,12,Outer Regional Australia,3,3,2,1
11028,102011028,Avoca Beach - Copacabana,1,New South Wales,10,Major Cities of Australia,1,1,5,5
11029,102011029,Box Head - MacMasters Beach,1,New South Wales,10,Major Cities of Australia,1,1,4,4
11030,102011030,Calga - Kulnura,1,New South Wales,11,Inner Regional Australia,2,2,3,3
11031,102011031,Erina - Green Point,1,New South Wales,10,Major Cities of Australia,1,1,3,4
11032,102011032,Gosford - Springfield,1,New South Wales,10,Major Cities of Australia,1,1,2,2
11033,102011033,Kariong,1,New South Wales,10,Major Cities of Australia,1,1,4,4
11034,102011034,Kincumber - Picketts Valley,1,New South Wales,10,Major Cities of Australia,1,1,3,3
11035,102011035,Narara,1,New South Wales,10,Major Cities of Australia,1,1,3,3
11036,102011036,Niagara Park - Lisarow,1,New South Wales,10,Major Cities of Australia,1,1,4,4
11037,102011037,Point Clare - Koolewong,1,New South Wales,10,Major Cities of Australia,1,1,4,3
11038,102011038,Saratoga - Davistown,1,New South Wales,10,Major Cities of Australia,1,1,4,4
11039,102011039,Terrigal - North Avoca,1,New South Wales,10,Major Cities of Australia,1,1,4,4
11040,102011040,Umina - Booker Bay - Patonga,1,New South Wales,10,Major Cities of Australia,1,1,2,1
11041,102011041,Wamberal - Forresters Beach,1,New South Wales,10,Major Cities of Australia,1,1,5,5
11042,102011042,Woy Woy - Blackwall,1,New South Wales,10,Major Cities of Australia,1,1,1,1
11043,102011043,Wyoming,1,New South Wales,10,Major Cities of Australia,1,1,2,2
11044,102021044,Bateau Bay - Killarney Vale,1,New South Wales,10,Major Cities of Australia,1,1,2,2
11045,102021045,Blue Haven - San Remo,1,New South Wales,10,Major Cities of Australia,1,1,1,1
11046,102021046,Budgewoi - Buff Point - Halekulani,1,New South Wales,10,Major Cities of Australia,1,1,1,1
11047,102021047,Chittaway Bay - Tumbi Umbi,1,New South Wales,10,Major Cities of Australia,1,1,3,3
11048,102021048,Gorokan - Kanwal - Charmhaven,1,New South Wales,10,Major Cities of Australia,1,1,1,1
11049,102021049,Jilliby - Yarramalong,1,New South Wales,10,Major Cities of Australia,1,1,5,5
11050,102021050,Lake Munmorah - Mannering Park,1,New South Wales,10,Major Cities of Australia,1,1,2,1
11051,102021051,Ourimbah - Fountaindale,1,New South Wales,10,Major Cities of Australia,1,1,4,4
11052,102021052,Summerland Point - Gwandalan,1,New South Wales,10,Major Cities of Australia,1,1,2,2
11053,102021053,The Entrance,1,New South Wales,10,Major Cities of Australia,1,1,1,1
11054,102021054,Toukley - Norah Head,1,New South Wales,10,Major Cities of Australia,1,1,1,1
11055,102021055,Tuggerah - Kangy Angy,1,New South Wales,10,Major Cities of Australia,1,1,3,3
11056,102021056,Warnervale - Wadalba,1,New South Wales,10,Major Cities of Australia,1,1,3,3
11057,102021057,Wyong,1,New South Wales,10,Major Cities of Australia,1,1,1,1
11058,103011058,Bathurst,1,New South Wales,11,Inner Regional Australia,2,2,2,2
11059,103011059,Bathurst - East,1,New South Wales,11,Inner Regional Australia,2,2,3,3
11060,103011060,Bathurst Region,1,New South Wales,11,Inner Regional Australia,2,2,4,4
11061,103011061,Oberon,1,New South Wales,11,Inner Regional Australia,2,2,2,2
11062,103021062,Condobolin,1,New South Wales,12,Outer Regional Australia,3,3,1,2
11063,103021063,Cowra,1,New South Wales,11,Inner Regional Australia,2,2,1,1
11064,103021064,Cowra Region,1,New South Wales,12,Outer Regional Australia,3,3,2,2
11065,103021065,Forbes,1,New South Wales,12,Outer Regional Australia,3,3,2,2
11066,103021066,Grenfell,1,New South Wales,12,Outer Regional Australia,3,3,1,2
11067,103021067,Parkes (NSW),1,New South Wales,12,Outer Regional Australia,3,3,2,1
11068,103021068,Parkes Region,1,New South Wales,12,Outer Regional Australia,3,3,1,1
11069,103021069,West Wyalong,1,New South Wales,12,Outer Regional Australia,3,3,2,2
11070,103031070,Lithgow,1,New South Wales,11,Inner Regional Australia,2,2,1,1
11071,103031071,Lithgow Region,1,New South Wales,11,Inner Regional Australia,2,2,2,2
11072,103031072,Mudgee,1,New South Wales,11,Inner Regional Australia,2,2,2,2
11073,103031073,Mudgee Region - East,1,New South Wales,12,Outer Regional Australia,3,3,1,1
11074,103031074,Mudgee Region - West,1,New South Wales,12,Outer Regional Australia,3,3,2,2
11075,103031075,Wollangambe - Wollemi,1,New South Wales,12,Outer Regional Australia,3,3,,
11076,103041076,Blayney,1,New South Wales,11,Inner Regional Australia,2,2,2,2
11077,103041077,Orange,1,New South Wales,11,Inner Regional Australia,2,2,1,1
11078,103041078,Orange - North,1,New South Wales,11,Inner Regional Australia,2,2,3,3
11079,103041079,Orange Region,1,New South Wales,11,Inner Regional Australia,2,2,3,3
11080,104011080,Grafton,1,New South Wales,11,Inner Regional Australia,2,2,1,1
11081,104011081,Grafton Region,1,New South Wales,12,Outer Regional Australia,3,3,1,1
