sa2,y.all.male,sd.all.male,y.all.female,sd.all.female,y.all.persons,sd.all.persons
11001,0.076961041,0.036458655,-0.010050336,0.049095935,0.029558802,0.047274914
11002,-0.040821995,0.03590857,-0.020202707,0.030318072,-0.030459207,0.030621434
11003,0.048790164,0.076561579,0.113328685,0.076038561,0.113328685,0.056027993
11004,-0.040821995,0.03590857,-0.010050336,0.034856757,-0.010050336,0.030020663
11005,0.277631737,0.051430969,-0.162518929,0.067377409,0.076961041,0.045180305
11006,0.067658648,0.041204774,-0.051293294,0.036273429,0.009950331,0.038891513
11007,-0.051293294,0.055899083,-0.010050336,0.04439356,-0.020202707,0.044827222
11008,-0.116533816,0.059456029,-0.030459207,0.050060131,-0.072570693,0.052106885
11009,-0.051293294,0.055899083,-0.061875404,0.046650105,-0.051293294,0.04125107
11010,-0.105360516,0.058832065,-0.072570693,0.047129245,-0.116533816,0.049148525
11011,-0.105360516,0.032927817,-0.040821995,0.030930929,-0.083381609,0.032234133
11012,-0.174353387,0.057386726,-0.051293294,0.046180616,-0.127833372,0.04439356
11013,-0.051293294,0.065435885,-0.020202707,0.049573341,-0.020202707,0.049573341
11014,-0.094310679,0.073010635,0.039220713,0.073010635,-0.020202707,0.058935146
11015,-0.072570693,0.047129245,-0.020202707,0.040036538,-0.040821995,0.040838116
11016,-0.105360516,0.058832065,-0.020202707,0.049573341,-0.061875404,0.051579651
11017,0.086177696,0.057486307,0.058268908,0.054717107,0.104360015,0.04401038
11018,0.048790164,0.050831552,-0.010050336,0.053755365,0.019802627,0.043141525
11019,0.086177696,0.061651262,-0.051293294,0.055899083,0.029558802,0.047274914
11020,0.009950331,0.048168206,-0.030459207,0.040433353,0.009950331,0.038891513
11021,0.029558802,0.069365121,-0.010050336,0.06294848,0.009950331,0.057279236
11022,-0.020202707,0.058935146,-0.010050336,0.04439356,-0.010050336,0.053755365
11023,0.182321557,0.071307113,-0.061875404,0.070834921,0.09531018,0.056991831
11024,0.029558802,0.047274914,0.009950331,0.038891513,0.029558802,0.042739736
11025,0.058268908,0.050374919,-0.051293294,0.051062989,0.019802627,0.038524261
11026,0.039220713,0.055713924,0.039220713,0.060093386,0.058268908,0.045995458
11027,0,0.053244906,0,0.043968212,0.019802627,0.038524261
11028,-0.061875404,0.066088802,0.009950331,0.057279236,-0.061875404,0.051579651
11029,0.009950331,0.048168206,0.067658648,0.045584235,0.029558802,0.042739736
11030,0.039220713,0.03781019,0.039220713,0.033234338,0.039220713,0.033234338
11031,0.019802627,0.033864831,0.076961041,0.032041276,0.039220713,0.028617075
11032,0.067658648,0.041204774,0.076961041,0.036458655,0.067658648,0.032331436
11033,0.009950331,0.061774455,0.076961041,0.04948585,0.039220713,0.051296546
11034,0.104360015,0.052374568,0.09531018,0.04439356,0.122217633,0.039098585
11035,0.029558802,0.060643471,0.076961041,0.04948585,0.067658648,0.045584235
11036,0.048790164,0.050831552,0.039220713,0.042345367,0.029558802,0.042739736
11037,0.104360015,0.056505798,0.058268908,0.050374919,0.076961041,0.045180305
11038,0.086177696,0.061651262,0.048790164,0.059553201,0.067658648,0.049926423
11039,0.009950331,0.048168206,0.029558802,0.042739736,0,0.039265837
11040,0.029558802,0.038163884,0.104360015,0.039776297,0.067658648,0.027836216
11041,-0.020202707,0.054275716,0.048790164,0.050831552,0,0.039265837
11042,0.09531018,0.040124045,0.076961041,0.040838116,0.086177696,0.036135741
11043,0.086177696,0.04905299,0.058268908,0.041578079,0.058268908,0.03712212
11044,0.113328685,0.039434528,0.09531018,0.035818499,0.09531018,0.031476311
11045,0.157003749,0.045845066,0.09531018,0.040124045,0.148420005,0.038124258
11046,0.148420005,0.054195007,0.067658648,0.054231969,0.122217633,0.039098585
11047,0.076961041,0.040838116,0.048790164,0.037462994,0.058268908,0.0326269
11048,0.058268908,0.045995458,0.122217633,0.039098585,0.086177696,0.04047793
11049,0.039220713,0.051296546,0.058268908,0.03712212,0.048790164,0.041958213
11050,-0.010050336,0.04439356,0.113328685,0.043633762,0.058268908,0.03712212
11051,0.019802627,0.056747773,0.076961041,0.045180305,0.048790164,0.050831552
11052,-0.174353387,0.078648306,0.104360015,0.072704114,-0.040821995,0.064795761
11053,0.223143551,0.046768974,0.113328685,0.047798716,0.182321557,0.036898297
11054,0.113328685,0.051929946,0.09531018,0.052826877,0.104360015,0.035506782
11055,-0.010050336,0.06294848,0.086177696,0.053287073,0.048790164,0.050831552
11056,0.09531018,0.052826877,0.086177696,0.044783475,0.09531018,0.040124045
11057,0.058268908,0.054717107,0.086177696,0.04905299,0.067658648,0.045584235
11058,-0.051293294,0.046180616,-0.072570693,0.047129245,-0.072570693,0.037025864
11059,0,0.062355935,-0.061875404,0.056462024,-0.030459207,0.050060131
11060,-0.051293294,0.04125107,-0.020202707,0.035200445,-0.030459207,0.03555098
11061,-0.061875404,0.061298118,-0.020202707,0.044827222,-0.040821995,0.050556583
11062,0.067658648,0.045584235,0.009950331,0.038891513,0.058268908,0.041578079
11063,0.104360015,0.056505798,-0.030459207,0.059508624,0.048790164,0.041958213
11064,-0.010050336,0.04439356,-0.010050336,0.034856757,0,0.034519719
11065,0.086177696,0.04047793,0.019802627,0.038524261,0.076961041,0.036458655
11066,0.039220713,0.060093386,-0.020202707,0.049573341,0.019802627,0.047717377
11067,-0.010050336,0.058372628,0.039220713,0.055713924,0.019802627,0.043141525
11068,0.009950331,0.052744058,-0.010050336,0.04439356,-0.010050336,0.04439356
11069,0.113328685,0.047798716,-0.030459207,0.040433353,0.048790164,0.041958213
11070,0.122217633,0.051492816,0.039220713,0.060093386,0.104360015,0.052374568
11071,0.029558802,0.047274914,0.009950331,0.043550943,0.048790164,0.041958213
11072,0.019802627,0.061203732,-0.094310679,0.068128262,-0.051293294,0.079414954
11073,0.009950331,0.057279236,-0.020202707,0.049573341,0.009950331,0.048168206
11074,0.019802627,0.038524261,-0.020202707,0.035200445,0.009950331,0.034189138
11076,0.019802627,0.056747773,-0.030459207,0.054806249,0.009950331,0.048168206
11077,-0.040821995,0.045720489,-0.010050336,0.04439356,-0.040821995,0.03590857
11078,0.009950331,0.057279236,0,0.053244906,0.009950331,0.043550943
11079,-0.010050336,0.039647441,-0.030459207,0.03555098,-0.020202707,0.030318072
11080,0.148420005,0.038124258,0.039220713,0.081443952,0.104360015,0.039776297
11081,0.086177696,0.036135741,0.048790164,0.032927817,0.09531018,0.02709685
11082,0.148420005,0.038124258,0.086177696,0.04047793,0.148420005,0.029894982
11083,0.058268908,0.050374919,0.039220713,0.042345367,0.048790164,0.037462994
11084,0.113328685,0.043633762,0.113328685,0.043633762,0.122217633,0.03489935
11085,0.086177696,0.057486307,0.067658648,0.049926423,0.067658648,0.041204774
11086,0.067658648,0.049926423,0.058268908,0.041578079,0.067658648,0.041204774
11087,0.009950331,0.061774455,0.048790164,0.050831552,0.029558802,0.051770133
11088,0.131028262,0.055096244,0.029558802,0.051770133,0.086177696,0.044783475
11089,0.113328685,0.039434528,0.104360015,0.039776297,0.122217633,0.030665267
11090,0.157003749,0.057664994,0.113328685,0.056027993,0.173953307,0.04901726
11091,0.104360015,0.048209614,0.039220713,0.046840586,0.086177696,0.04047793
11092,0.067658648,0.054231969,0.009950331,0.043550943,0.067658648,0.045584235
11093,0.048790164,0.059553201,0.029558802,0.047274914,0.067658648,0.049926423
11094,0.048790164,0.050831552,0.029558802,0.047274914,0.067658648,0.045584235
11095,0.113328685,0.047798716,0.009950331,0.048168206,0.09531018,0.04439356
11096,0.039220713,0.046840586,-0.010050336,0.04439356,0.029558802,0.038163884
11097,0.09531018,0.04439356,-0.010050336,0.053755365,0.039220713,0.028617075
11098,0.009950331,0.052744058,0,0.039265837,0.019802627,0.043141525
11099,0.067658648,0.041204774,0.009950331,0.038891513,0.058268908,0.0326269
11100,0.113328685,0.060093386,0.019802627,0.052252554,0.067658648,0.045584235
11101,0.122217633,0.047394769,0.058268908,0.045995458,0.09531018,0.035818499
11102,0.157003749,0.057664994,0.076961041,0.057989448,0.148420005,0.050224527
11103,0.048790164,0.041958213,0.009950331,0.038891513,0.039220713,0.03781019
11104,0.067658648,0.058501484,0.039220713,0.051296546,0.086177696,0.04905299
11105,0.058268908,0.050374919,0.019802627,0.043141525,0.067658648,0.041204774
11106,0.165514438,0.053322805,-0.030459207,0.050060131,0.09531018,0.04439356
11107,0.039220713,0.051296546,-0.030459207,0.045269447,0,0.039265837
11108,0.039220713,0.046840586,0.019802627,0.043141525,0.029558802,0.033546621
11109,0.039220713,0.03781019,0.019802627,0.029162456,0.029558802,0.028887191
11110,0.039220713,0.042345367,0.009950331,0.034189138,0.029558802,0.038163884
11111,0.09531018,0.04439356,0.019802627,0.038524261,0.067658648,0.036787395
11112,-0.040821995,0.060093386,-0.030459207,0.054806249,-0.051293294,0.046180616
11113,0.009950331,0.048168206,-0.020202707,0.035200445,-0.010050336,0.034856757
11114,0.104360015,0.056505798,0.029558802,0.047274914,0.086177696,0.044783475
11115,0.122217633,0.039098585,0.009950331,0.038891513,0.058268908,0.0326269
11116,0.048790164,0.055211013,0.029558802,0.047274914,0.048790164,0.046414173
11117,0.139761942,0.04660703,-0.010050336,0.034856757,0.067658648,0.036787395
11118,0.048790164,0.055211013,0.039220713,0.042345367,0.048790164,0.046414173
11119,0.009950331,0.061774455,0.067658648,0.054231969,0.048790164,0.050831552
11120,0.048790164,0.063858746,0.067658648,0.054231969,0.076961041,0.045180305
11121,0.029558802,0.047274914,0.048790164,0.041958213,0.039220713,0.028617075
11122,0.067658648,0.049926423,0.058268908,0.045995458,0.076961041,0.040838116
11123,0.039220713,0.051296546,0.058268908,0.045995458,0.076961041,0.045180305
11124,0.048790164,0.063858746,0.039220713,0.055713924,0.067658648,0.049926423
11125,0,0.043968212,0.048790164,0.037462994,0.039220713,0.033234338
11126,0.039220713,0.060093386,-0.040821995,0.060093386,-0.010050336,0.053755365
11127,-0.010050336,0.06294848,-0.051293294,0.055899083,-0.040821995,0.050556583
11128,0.09531018,0.081291856,-0.072570693,0.071545582,0,0.066851154
11129,0.076961041,0.040838116,-0.020202707,0.035200445,0.039220713,0.03781019
11130,0.067658648,0.036787395,0.067658648,0.036787395,0.076961041,0.027585317
11131,-0.030459207,0.040433353,0.086177696,0.036135741,0.029558802,0.028887191
11132,0,0.057820758,0.076961041,0.045180305,0.039220713,0.051296546
11133,-0.010050336,0.071978877,0.048790164,0.055211013,0.009950331,0.066230414
11134,-0.010050336,0.04439356,0.048790164,0.037462994,0.009950331,0.034189138
11135,0.029558802,0.038163884,0.039220713,0.033234338,0.039220713,0.033234338
11136,-0.030459207,0.050060131,0.058268908,0.041578079,0.019802627,0.038524261
11137,0.009950331,0.057279236,0.076961041,0.04948585,0.039220713,0.051296546
11138,-0.174353387,0.068128262,0.076961041,0.057989448,-0.061875404,0.051579651
11139,-0.020202707,0.068128262,0.058268908,0.059022653,0.029558802,0.051770133
11140,-0.030459207,0.054806249,0.029558802,0.042739736,-0.010050336,0.04439356
11141,0,0.043968212,0.058268908,0.041578079,0.029558802,0.038163884
11142,0.058268908,0.054717107,0.076961041,0.053755365,0.067658648,0.041204774
11143,0.009950331,0.043550943,0.148420005,0.042189651,0.076961041,0.040838116
11144,-0.030459207,0.040433353,0.058268908,0.041578079,0.009950331,0.029443019
11145,0.039220713,0.051296546,0.086177696,0.044783475,0.058268908,0.041578079
11146,-0.072570693,0.042102563,0.039220713,0.03781019,-0.020202707,0.030318072
11147,0.039220713,0.055713924,0,0.048627643,0.009950331,0.043550943
11148,-0.010050336,0.053755365,0.076961041,0.053755365,0.039220713,0.042345367
11149,-0.072570693,0.037025864,0.039220713,0.042345367,-0.030459207,0.03555098
11150,0.148420005,0.042189651,0.113328685,0.039434528,0.139761942,0.034312361
11151,0.009950331,0.048168206,0,0.043968212,-0.010050336,0.04439356
11152,0.113328685,0.043633762,0.048790164,0.046414173,0.09531018,0.031476311
11153,0.019802627,0.047717377,0.019802627,0.047717377,0.029558802,0.042739736
11154,0.173953307,0.052897158,0.067658648,0.058501484,0.148420005,0.062044455
11155,0.048790164,0.046414173,0.009950331,0.061774455,0.019802627,0.038524261
11156,0.067658648,0.041204774,0.019802627,0.038524261,0.048790164,0.037462994
11157,0.09531018,0.056991831,0.009950331,0.057279236,0.039220713,0.051296546
11158,0.173953307,0.052897158,0.09531018,0.056991831,0.165514438,0.041502877
11159,0.058268908,0.050374919,0.067658648,0.045584235,0.076961041,0.040838116
11160,0.198850859,0.066557596,0.086177696,0.069880538,0.19062036,0.048244175
11162,0.113328685,0.039434528,0.058268908,0.041578079,0.113328685,0.035200445
11163,0.029558802,0.038163884,0.058268908,0.03712212,0.048790164,0.032927817
11164,0.029558802,0.042739736,-0.040821995,0.040838116,-0.020202707,0.054275716
11165,0.029558802,0.051770133,0,0.043968212,0.009950331,0.043550943
11166,0.122217633,0.047394769,0,0.043968212,0.067658648,0.036787395
11167,0.09531018,0.052826877,-0.010050336,0.04439356,0.048790164,0.041958213
11168,0.048790164,0.050831552,0,0.053244906,0.039220713,0.042345367
11169,0,0.039265837,-0.010050336,0.039647441,-0.010050336,0.030020663
11170,0.09531018,0.035818499,0.029558802,0.033546621,0.09531018,0.031476311
11171,0.09531018,0.065221108,-0.051293294,0.065435885,0.019802627,0.052252554
11172,0.019802627,0.047717377,-0.051293294,0.04125107,-0.020202707,0.035200445
11173,-0.020202707,0.054275716,-0.051293294,0.046180616,-0.051293294,0.046180616
11174,-0.030459207,0.050060131,-0.030459207,0.040433353,-0.040821995,0.040838116
11175,0.039220713,0.03781019,-0.010050336,0.034856757,0.029558802,0.033546621
11176,0.076961041,0.04948585,-0.051293294,0.046180616,0.009950331,0.043550943
11177,0.039220713,0.064435574,0.009950331,0.052744058,0.048790164,0.050831552
11178,0.019802627,0.056747773,-0.040821995,0.050556583,-0.010050336,0.049095935
11179,0.019802627,0.043141525,-0.010050336,0.034856757,0.019802627,0.038524261
11180,0.067658648,0.062735567,-0.051293294,0.065435885,0.009950331,0.057279236
11181,0.067658648,0.041204774,0,0.039265837,0.076961041,0.032041276
11182,0.09531018,0.085231676,0.048790164,0.068128262,0.086177696,0.061651262
11183,0.039220713,0.042345367,0.019802627,0.033864831,0.048790164,0.028351965
11184,0.086177696,0.053287073,0.019802627,0.052252554,0.067658648,0.049926423
11185,0.009950331,0.038891513,0,0.034519719,0.009950331,0.034189138
11186,0.039220713,0.046840586,0.048790164,0.041958213,0.039220713,0.033234338
11187,0.076961041,0.045180305,0.029558802,0.033546621,0.048790164,0.041958213
11188,0.139761942,0.054641906,0.048790164,0.046414173,0.131028262,0.04289955
11189,0.104360015,0.048209614,0.009950331,0.038891513,0.076961041,0.040838116
11190,0,0.053244906,0.029558802,0.042739736,0.009950331,0.038891513
11191,0.139761942,0.050640285,0.009950331,0.057279236,0.076961041,0.040838116
11192,0.076961041,0.040838116,0.048790164,0.037462994,0.086177696,0.04047793
11193,0.09531018,0.052826877,0.048790164,0.046414173,0.104360015,0.039776297
11194,0,0.039265837,0.048790164,0.032927817,0.029558802,0.033546621
11195,0.113328685,0.068128262,0,0.071307113,0.067658648,0.054231969
11196,0.058268908,0.045995458,0.019802627,0.043141525,0.058268908,0.041578079
11197,0.198850859,0.070214989,0.039220713,0.068741119,0.139761942,0.054641906
11198,0.048790164,0.046414173,0.019802627,0.038524261,0.048790164,0.037462994
11199,0.086177696,0.061651262,0.039220713,0.068741119,0.067658648,0.058501484
11200,0.039220713,0.055713924,0.029558802,0.051770133,0.058268908,0.050374919
11201,0.058268908,0.050374919,-0.010050336,0.049095935,0.029558802,0.042739736
11202,0.19062036,0.04439356,0.009950331,0.043550943,0.113328685,0.035200445
