SA2_code,y.kidney.male,sd.kidney.male,y.kidney.female,sd.kidney.female,y.kidney.persons,sd.kidney.persons
11001,0.076961041,0.146776568,-0.116533816,0.204955489,0.009950331,0.132692248
11002,-0.020202707,0.068128262,-0.020202707,0.094753646,-0.030459207,0.068785318
11003,0.009950331,0.184496544,0.21511138,0.248972516,0.122217633,0.174243053
11004,0,0.071307113,0,0.097255286,0.009950331,0.070647793
11005,-0.020202707,0.170925228,0.173953307,0.222353196,0.067658648,0.158560096
11006,0.009950331,0.092178586,0.019802627,0.119816118,0.029558802,0.082174264
11007,-0.040821995,0.096552041,-0.061875404,0.137188558,-0.061875404,0.093925019
11008,0.029558802,0.122687926,-0.040821995,0.162476393,0.019802627,0.115845638
11009,0,0.113848751,-0.061875404,0.145417834,-0.020202707,0.111762024
11010,0.048790164,0.108966378,-0.051293294,0.152119068,0.029558802,0.102833122
11011,0.009950331,0.075027254,-0.010050336,0.102383008,0.019802627,0.070000572
11012,0,0.109750704,-0.030459207,0.149399731,-0.010050336,0.106582242
11013,-0.051293294,0.114921735,-0.105360516,0.155209885,-0.083381609,0.113848751
11014,-0.010050336,0.191170127,-0.116533816,0.256018478,-0.051293294,0.17549128
11015,-0.020202707,0.090411457,-0.072570693,0.125777551,-0.040821995,0.087678703
11016,-0.030459207,0.121159886,-0.061875404,0.169338031,-0.040821995,0.118082834
11017,0.09531018,0.15824231,-0.020202707,0.210328977,0.09531018,0.144452171
11018,-0.010050336,0.135047222,0.067658648,0.189079736,0.039220713,0.129310664
11019,-0.15082289,0.161396596,-0.210721031,0.217261434,-0.210721031,0.151478943
11020,-0.139262067,0.105571794,-0.116533816,0.143902171,-0.162518929,0.102928389
11021,-0.051293294,0.148117446,-0.020202707,0.199880747,-0.051293294,0.144084192
11022,-0.051293294,0.106274002,-0.083381609,0.143996157,-0.072570693,0.108332977
11023,-0.162518929,0.171669508,-0.198450939,0.223197877,-0.235722334,0.168894139
11024,-0.040821995,0.096552041,-0.040821995,0.130578252,-0.040821995,0.092134662
11025,-0.210721031,0.146776568,-0.174353387,0.194575284,-0.248461359,0.141847021
11026,-0.094310679,0.153737168,0.067658648,0.208456903,-0.040821995,0.142774946
11027,-0.040821995,0.126447022,-0.083381609,0.176400956,-0.061875404,0.120320771
11028,0,0.14549946,-0.162518929,0.196766572,-0.083381609,0.13556284
11029,-0.061875404,0.124590286,-0.072570693,0.162974883,-0.094310679,0.110473629
11030,-0.030459207,0.077896347,0.019802627,0.103745369,-0.010050336,0.071978877
11031,0.048790164,0.08895581,-0.094310679,0.123842186,-0.020202707,0.086031996
11032,0,0.10145452,0,0.137768948,-0.010050336,0.09387941
11033,0.067658648,0.129808597,0.09531018,0.174971812,0.113328685,0.121085809
11034,0.029558802,0.118778297,-0.040821995,0.158596496,0,0.109750704
11035,-0.020202707,0.124156254,0,0.164328316,-0.020202707,0.115926978
11036,0.039220713,0.105938451,0.019802627,0.143011207,0.039220713,0.10193683
11037,0.058268908,0.141940474,0.113328685,0.185155864,0.104360015,0.132797499
11038,0.173953307,0.16052383,-0.162518929,0.208866841,0.076961041,0.146776568
11039,0.09531018,0.119384473,-0.15082289,0.161396596,0,0.113848751
11040,-0.105360516,0.1161113,-0.072570693,0.154940007,-0.127833372,0.104486945
11041,0.067658648,0.12236023,-0.105360516,0.167604116,-0.010050336,0.114878426
11042,0.029558802,0.110867998,0.029558802,0.145536703,0.048790164,0.097054457
11043,0.019802627,0.119816118,0.058268908,0.159844208,0.039220713,0.105938451
11044,0.19062036,0.116372436,0,0.156879949,0.139761942,0.103993756
11045,0.039220713,0.109908931,0.254642218,0.143801608,0.157003749,0.098802614
11046,0.019802627,0.135396079,0.2390169,0.177943757,0.122217633,0.12368647
11047,0.09531018,0.100693589,0,0.137768948,0.067658648,0.0993396
11048,0.009950331,0.12087232,0.277631737,0.15824231,0.139761942,0.100362395
11049,0.039220713,0.093838183,0.139761942,0.12871436,0.09531018,0.093021202
11050,0.048790164,0.116755904,0.173953307,0.154224935,0.122217633,0.105656181
11051,0.048790164,0.112876007,0.104360015,0.153625047,0.09531018,0.108252306
11052,0,0.200021473,0,0.264690711,-0.010050336,0.187614684
11053,0.09531018,0.144452171,0.182321557,0.189573243,0.148420005,0.124296981
11054,0.048790164,0.154013626,0.277631737,0.196457264,0.165514438,0.135851009
11055,0.104360015,0.129242056,0.086177696,0.166291814,0.139761942,0.11826613
11056,0.058268908,0.119592197,0.3074847,0.170596524,0.198850859,0.115518815
11057,0.048790164,0.124428291,0.2390169,0.169368697,0.148420005,0.117355322
11058,-0.261364764,0.143452751,-0.094310679,0.189766539,-0.261364764,0.138426069
11059,-0.174353387,0.155806964,-0.061875404,0.210475651,-0.174353387,0.151311745
11060,-0.105360516,0.088275084,-0.061875404,0.116015226,-0.105360516,0.078648306
11061,-0.061875404,0.102876197,-0.061875404,0.145417834,-0.083381609,0.100362395
11062,-0.020202707,0.094753646,-0.030459207,0.129389163,-0.020202707,0.094753646
11063,-0.061875404,0.169338031,-0.186329578,0.244387343,-0.127833372,0.162476393
11064,-0.061875404,0.089389841,-0.051293294,0.123425334,-0.061875404,0.084813989
11065,-0.051293294,0.097477162,-0.061875404,0.133023603,-0.051293294,0.093021202
11066,0.009950331,0.12087232,-0.040821995,0.162476393,0.009950331,0.112837444
11067,-0.061875404,0.149483227,-0.061875404,0.195897399,-0.072570693,0.138480383
11068,-0.061875404,0.102876197,-0.051293294,0.140018799,-0.061875404,0.098420238
11069,0.009950331,0.092178586,-0.051293294,0.127624568,0,0.084446142
11070,-0.020202707,0.167187453,0.086177696,0.223750425,0.029558802,0.163825546
11071,-0.094310679,0.105938451,-0.020202707,0.151956349,-0.083381609,0.104897572
11072,-0.083381609,0.180310585,-0.328504067,0.247708069,-0.223143551,0.176204686
11073,-0.116533816,0.108083671,-0.020202707,0.151956349,-0.105360516,0.107000271
11074,-0.083381609,0.09116928,-0.116533816,0.126307183,-0.105360516,0.088275084
11076,-0.051293294,0.131789522,-0.072570693,0.170885182,-0.061875404,0.124590286
11077,0.104360015,0.139834908,-0.15082289,0.190799205,0.029558802,0.122687926
11078,0.009950331,0.148037889,-0.105360516,0.206869953,-0.030459207,0.133454555
11079,-0.051293294,0.079414954,-0.094310679,0.114968848,-0.072570693,0.080994076
11080,-0.15082289,0.157054407,-0.040821995,0.196128418,-0.127833372,0.1409456
11081,-0.072570693,0.085653506,-0.040821995,0.113848751,-0.051293294,0.079414954
11082,-0.105360516,0.120606519,-0.198450939,0.163606414,-0.15082289,0.116216291
11083,-0.127833372,0.099740827,-0.020202707,0.140227003,-0.094310679,0.096745336
11084,-0.15082289,0.134771212,-0.010050336,0.176797231,-0.116533816,0.126307183
11085,-0.040821995,0.138741692,-0.020202707,0.17831962,-0.020202707,0.124156254
11086,-0.105360516,0.102383008,0,0.133859319,-0.072570693,0.099381799
11087,-0.116533816,0.121811964,-0.040821995,0.17014878,-0.094310679,0.114968848
11088,-0.162518929,0.136162727,-0.040821995,0.192497057,-0.15082289,0.134771212
11089,-0.105360516,0.1161113,0.076961041,0.157296612,-0.030459207,0.104292099
11090,-0.072570693,0.138480383,0.019802627,0.189918092,-0.020202707,0.136256523
11091,-0.061875404,0.128824369,-0.061875404,0.177068544,-0.051293294,0.119191251
11092,0.009950331,0.100542775,0.039220713,0.140607156,0.058268908,0.100190464
11093,0,0.109750704,-0.020202707,0.148076451,0.009950331,0.108772051
11094,-0.051293294,0.106274002,0.019802627,0.13921785,-0.020202707,0.103328706
11095,0.019802627,0.107810762,0,0.141648845,0.048790164,0.097054457
11096,-0.040821995,0.100931502,0.058268908,0.145571835,0.019802627,0.099647323
11097,-0.139262067,0.159803762,-0.127833372,0.199080427,-0.162518929,0.149768975
11098,-0.040821995,0.087678703,-0.040821995,0.122282068,-0.040821995,0.087678703
11099,-0.083381609,0.09116928,0,0.121947398,-0.051293294,0.088525983
